,Fitness,Pisicna,Gimnasio
2010-01-01,146,286,723
2010-02-01,104,212,554
2010-03-01,62,263,960
2010-04-01,144,285,1919
2010-05-01,161,298,1736
2010-06-01,93,303,1459
2010-07-01,98,523,2917
2010-08-01,380,1692,5214
2010-09-01,97,330,2052
2010-10-01,245,388,1668
2010-11-01,203,308,790
2010-12-01,382,738,776
2011-01-01,221,527,973
2011-02-01,157,378,722
2011-03-01,116,457,1091
2011-04-01,200,597,2543
2011-05-01,159,417,1500
2011-06-01,153,486,1743
2011-07-01,118,446,2155
2011-08-01,413,1595,4887
2011-09-01,106,367,1976
2011-10-01,100,315,1883
2011-11-01,91,302,1041
2011-12-01,205,574,1448