mes,ano,p1,p2,p3,p4,p5,p6
9,2009,346,1502,573,109,349,200
10,2009,337,1289,438,143,484,213
11,2009,579,751,270,147,257,131
12,2009,513,722,269,144,266,133
1,2010,464,711,220,154,246,143
2,2010,524,640,188,107,169,78
3,2010,525,739,257,126,203,92
4,2010,163,1021,270,62,238,96
5,2010,231,1335,352,109,439,178
6,2010,307,1494,531,129,461,461
7,2010,307,1494,531,129,461,195
8,2010,428,1028,818,223,582,412
9,2010,370,1515,576,114,454,210
10,2010,260,1322,431,143,495,242
11,2010,647,875,303,186,312,129
12,2010,636,987,326,263,428,198