measure,q_pos,amp
6.57,5414.269,35
6.65,5419.087,36
6.60,5423.881,36
6.50,5417.64,37
6.44,5433.364,37
6.44,5438.087,37
6.39,5442.788,37
6.55,5447.567,37
6.56,5452.341,37
6.55,5457.125,37
6.45,5461.857,37
6.47,5466.594,37
6.53,5471.36,37
6.62,5476.165,38
6.61,5480.973,37
6.60,5485.772,38
6.62,5490.579,37
6.62,5495.389,38
6.66,5500.213,38
6.66,5505.038,38
6.65,5509.856,38
6.65,5514.677,38
6.59,5519.464,38
6.59,5524.26,38
6.59,5529.052,38
6.61,5533.852,39
6.64,5538.673,39
6.69,5543.511,38
6.76,5548.378,38
6.77,5553.255,38
6.71,5558.094,39
6.56,5562.881,39
6.50,5567.632,39
6.51,5572.393,39
6.53,5577.162,38
6.55,5581.934,38
6.59,5586.728,38
6.53,5591.494,38
6.55,5596.269,38
6.54,5601.038,38
6.55,5605.814,39
6.55,5610.589,38
6.56,5615.374,39
6.56,5620.154,38
6.56,5624.936,39
6.46,5629.676,39
6.46,5634.411,38
6.69,5639.25,39
6.66,5644.076,38