De,Hasta,kg,kWh,Gradosdia
25/12/2010,17/01/2011,9290,117707,434  
18/01/2011,14/02/2011,7456,94464 ,328  
15/02/2011,14/03/2011,6955,88114 ,306  
15/03/2011,18/04/2011,4923,62369 ,152  
19/04/2011,16/05/2011,4179,52943 ,0    
17/05/2011,20/06/2011,3715,47073 ,0    
21/06/2011,18/07/2011,3378,42793 ,0    
19/07/2011,24/08/2011,3195,40477 ,0    
25/08/2011,19/09/2011,3142,39804 ,0    
20/09/2011,17/10/2011,3942,49941 ,0    
18/10/2011,14/11/2011,4019,50924 ,242  
15/11/2011,28/12/2011,7830,99206 ,371  